Score Diff      Team 1  Team 2  W       L       FG%     3P%     FT%     FTA/G   PF/G    2P Rank 2P% Rank        DRB Rank        STL Rank        PF Rank OPP DRB/G       OPP AST/G       OPP PTS/G       OPP 2PTA%       OPP 2P Rank     OPP 3P Rank     OPP 3PA Rank    OPP FT Rank     OPP FT% Rank    OPP ORB Rank    OPP DRB Rank    OPP BLK Rank    OPP PTS Rank    OPP PTS/G Rank  DIFF TOV Rank   DIFF PTS/G Rank SRS     ORtg    Years Exp
1	18 Loyola-Chicago	18 Tennessee	0.572	0.421	0.842	0.842	0.397	0.323	0.119	0.298	0.029	0.348	0.426	0.097	0.400	0.549	0.419	0.480	0.672	0.692	0.706	0.117	0.451	0.347	0.523	0.563	0.598	0.506	0.620	0.561	0.394	0.484	0.552
-1	18 Tennessee	18 Loyola-Chicago	0.428	0.579	0.158	0.158	0.603	0.677	0.881	0.702	0.971	0.652	0.574	0.903	0.600	0.451	0.581	0.520	0.328	0.308	0.294	0.883	0.549	0.653	0.477	0.437	0.402	0.494	0.380	0.439	0.606	0.516	0.448
2	18 Nevada	18 Cincinnati	0.428	0.579	0.597	0.597	0.663	0.543	0.599	0.482	0.380	0.468	0.581	0.709	0.799	0.734	0.909	0.474	0.918	0.749	0.664	0.829	0.696	0.573	0.872	0.483	0.963	0.777	0.372	0.199	0.421	0.571	0.579
-2	18 Cincinnati	18 Nevada	0.572	0.421	0.403	0.403	0.337	0.457	0.401	0.518	0.620	0.532	0.419	0.291	0.201	0.266	0.091	0.526	0.082	0.251	0.336	0.171	0.304	0.427	0.128	0.517	0.037	0.223	0.628	0.801	0.579	0.429	0.421
3	18 Kansas State	18 Kentucky	0.453	0.526	0.454	0.454	0.615	0.202	0.466	0.591	0.365	0.718	0.264	0.477	0.626	0.472	0.417	0.588	0.391	0.377	0.409	0.557	0.842	0.459	0.676	0.154	0.414	0.398	0.493	0.710	0.441	0.428	0.737
-3	18 Kentucky	18 Kansas State	0.547	0.474	0.546	0.546	0.385	0.798	0.534	0.409	0.635	0.282	0.736	0.523	0.374	0.528	0.583	0.412	0.609	0.623	0.591	0.443	0.158	0.541	0.324	0.846	0.586	0.602	0.507	0.290	0.559	0.572	0.263
1	18 Loyola-Chicago	18 Nevada	0.523	0.447	0.694	0.694	0.442	0.255	0.285	0.476	0.340	0.496	0.458	0.190	0.226	0.388	0.225	0.549	0.374	0.385	0.422	0.184	0.454	0.333	0.273	0.648	0.290	0.228	0.762	0.870	0.445	0.345	0.395
-1	18 Nevada	18 Loyola-Chicago	0.476	0.553	0.306	0.306	0.558	0.745	0.715	0.524	0.660	0.504	0.542	0.810	0.774	0.612	0.775	0.451	0.626	0.615	0.578	0.816	0.546	0.667	0.727	0.352	0.710	0.772	0.238	0.130	0.555	0.655	0.605
-16	18 Kansas State	18 Loyola-Chicago	0.358	0.658	0.275	0.275	0.529	0.590	0.816	0.540	0.585	0.713	0.424	0.906	0.629	0.568	0.615	0.410	0.380	0.533	0.510	0.917	0.736	0.659	0.627	0.238	0.580	0.559	0.429	0.470	0.533	0.451	0.369
16	18 Loyola-Chicago	18 Kansas State	0.642	0.342	0.725	0.725	0.471	0.410	0.184	0.460	0.415	0.287	0.576	0.094	0.371	0.432	0.385	0.590	0.620	0.467	0.490	0.083	0.264	0.341	0.373	0.762	0.420	0.441	0.571	0.530	0.467	0.549	0.631
19	18 Xavier	18 Texas Southern	0.809	0.132	0.745	0.745	0.840	0.424	0.472	0.455	0.335	0.397	0.723	0.564	0.234	0.392	0.413	0.309	0.415	0.659	0.743	0.479	1.000	0.146	0.286	0.541	0.507	0.378	0.219	0.549	0.843	0.755	0.447
-19	18 Texas Southern	18 Xavier	0.191	0.868	0.255	0.255	0.160	0.576	0.528	0.545	0.665	0.603	0.277	0.436	0.766	0.608	0.587	0.691	0.585	0.341	0.257	0.521	0.000	0.854	0.714	0.459	0.493	0.622	0.781	0.451	0.157	0.245	0.553
-13	18 Missouri	18 Florida State	0.500	0.526	0.408	0.408	0.637	0.428	0.457	1.000	0.690	0.540	0.837	0.356	0.378	0.424	0.374	0.549	0.398	0.217	0.295	0.313	0.598	0.373	0.224	0.651	0.208	0.322	0.297	0.757	0.473	0.446	0.631
13	18 Florida State	18 Missouri	0.500	0.474	0.592	0.592	0.363	0.572	0.543	0.000	0.310	0.460	0.163	0.644	0.622	0.576	0.626	0.451	0.602	0.783	0.705	0.687	0.402	0.627	0.776	0.349	0.792	0.678	0.703	0.243	0.527	0.554	0.369
8	18 Ohio State	18 South Dakota State	0.405	0.553	0.567	0.567	0.401	0.341	0.600	0.363	0.352	0.593	0.324	0.611	0.236	0.516	0.325	0.474	0.169	0.427	0.398	0.513	0.337	0.477	0.158	0.490	0.233	0.245	0.659	0.740	0.647	0.394	0.473
-8	18 South Dakota State	18 Ohio State	0.595	0.447	0.433	0.433	0.599	0.659	0.400	0.637	0.648	0.407	0.676	0.389	0.764	0.484	0.675	0.526	0.831	0.573	0.602	0.487	0.663	0.523	0.842	0.510	0.767	0.755	0.341	0.260	0.353	0.606	0.527
4	18 Gonzaga	18 UNC Greensboro	0.572	0.421	0.770	0.770	0.532	0.675	0.396	0.189	0.336	0.369	0.588	0.455	0.485	0.593	0.636	0.656	0.797	0.752	0.617	0.386	0.417	0.680	0.601	0.649	0.804	0.571	0.274	0.296	0.688	0.749	0.447
-4	18 UNC Greensboro	18 Gonzaga	0.428	0.579	0.230	0.230	0.468	0.325	0.604	0.811	0.664	0.631	0.412	0.545	0.515	0.407	0.364	0.344	0.203	0.248	0.383	0.614	0.583	0.320	0.399	0.351	0.196	0.429	0.726	0.704	0.312	0.251	0.553
2	18 Houston	18 San Diego State	0.595	0.421	0.510	0.510	0.509	0.409	0.773	0.522	0.652	0.420	0.425	0.831	0.460	0.316	0.421	0.574	0.437	0.385	0.372	0.863	0.275	0.603	0.572	0.339	0.538	0.442	0.585	0.544	0.551	0.554	0.447
-2	18 San Diego State	18 Houston	0.405	0.579	0.490	0.490	0.491	0.591	0.227	0.478	0.348	0.580	0.575	0.169	0.540	0.684	0.579	0.426	0.563	0.615	0.628	0.137	0.725	0.397	0.428	0.661	0.462	0.558	0.415	0.456	0.449	0.446	0.553
14	18 Michigan	18 Montana	0.547	0.500	0.357	0.357	0.420	0.446	0.283	0.439	0.523	0.174	0.327	0.520	0.640	0.447	0.351	0.688	0.829	0.471	0.586	0.417	0.327	0.758	0.952	0.840	0.763	0.346	0.582	0.689	0.742	0.484	0.289
-14	18 Montana	18 Michigan	0.453	0.500	0.643	0.643	0.580	0.554	0.717	0.561	0.477	0.826	0.673	0.480	0.360	0.553	0.649	0.312	0.171	0.529	0.414	0.583	0.673	0.242	0.048	0.160	0.237	0.654	0.418	0.311	0.258	0.516	0.711
4	18 Texas A&M	18 Providence	0.476	0.474	0.597	0.597	0.363	0.361	0.402	0.417	0.282	0.366	0.725	0.362	0.373	0.655	0.442	0.458	0.408	0.668	0.633	0.306	0.147	0.560	0.369	0.532	0.431	0.418	0.428	0.513	0.556	0.545	0.447
-4	18 Providence	18 Texas A&M	0.524	0.526	0.403	0.403	0.637	0.639	0.598	0.583	0.718	0.634	0.275	0.638	0.627	0.345	0.558	0.542	0.592	0.332	0.367	0.694	0.853	0.440	0.631	0.468	0.569	0.582	0.572	0.487	0.444	0.455	0.553
18	18 North Carolina	18 Lipscomb	0.547	0.526	0.367	0.367	0.471	0.333	0.396	0.467	0.707	0.488	0.659	0.484	0.389	0.713	0.612	0.438	0.579	0.774	0.639	0.414	0.050	0.842	0.536	0.569	0.736	0.621	0.367	0.442	0.655	0.544	0.447
-18	18 Lipscomb	18 North Carolina	0.453	0.474	0.633	0.633	0.529	0.667	0.604	0.533	0.293	0.512	0.341	0.516	0.611	0.287	0.388	0.562	0.421	0.226	0.361	0.586	0.950	0.158	0.464	0.431	0.264	0.379	0.633	0.558	0.345	0.456	0.553
-5	18 Xavier	18 Florida State	0.691	0.342	0.623	0.623	0.782	0.573	0.402	0.484	0.441	0.442	0.676	0.378	0.413	0.636	0.547	0.389	0.603	0.545	0.565	0.325	0.726	0.171	0.372	0.715	0.541	0.581	0.284	0.417	0.544	0.634	0.631
5	18 Florida State	18 Xavier	0.309	0.658	0.377	0.377	0.218	0.427	0.598	0.516	0.559	0.558	0.324	0.622	0.587	0.364	0.453	0.611	0.397	0.455	0.435	0.675	0.274	0.829	0.628	0.285	0.459	0.419	0.716	0.583	0.456	0.366	0.369
-6	18 Ohio State	18 Gonzaga	0.357	0.605	0.409	0.409	0.574	0.435	0.531	0.556	0.552	0.598	0.624	0.409	0.501	0.564	0.498	0.364	0.265	0.500	0.494	0.337	0.350	0.432	0.316	0.411	0.293	0.498	0.366	0.579	0.490	0.339	0.526
